fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,cases,deaths,metrics.deathrate,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,fully_vaccinated,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
6021,US,CA,Glenn County,county,,iso1:us#iso2:us-ca#fips:06021,,28393,,other,55.8,,0.83,0.34,,,,3,4,3,4,0,,4,4075,35,0.008588957,,,,47,25,3,,,,0,,0,,14289,12946,2021/9/27,https://covidactnow.org/us/california-ca/county/glenn_county,0.503,0.456,0,26070,3
6023,US,CA,Humboldt County,county,,iso1:us#iso2:us-ca#fips:06023,,135558,0.063,other,17.7,,0.78,0.25,,,0.71,2,1,2,4,0,,1,8430,93,0.011032028,,,,210,150,21,,22,15,2,,0,,84944,76580,2021/9/27,https://covidactnow.org/us/california-ca/county/humboldt_county,0.627,0.565,0,156251,3
6025,US,CA,Imperial County,county,,iso1:us#iso2:us-ca#fips:06025,,181215,0.065,other,17.9,,0.98,0.22,,,0.8,2,1,2,4,1,,1,34462,754,0.021879171,,,,220,153,24,,20,16,8,,0,,146819,120688,2021/9/27,https://covidactnow.org/us/california-ca/county/imperial_county,0.81,0.666,0,253514,3
6027,US,CA,Inyo County,county,,iso1:us#iso2:us-ca#fips:06027,,18039,,other,18.2,,0.84,0.67,,,0.43,2,4,2,4,0,,0,1685,39,0.023145401,,,,29,8,1,,2,0,0,,0,,10013,9123,2021/9/27,https://covidactnow.org/us/california-ca/county/inyo_county,0.555,0.506,0,18694,3
6029,US,CA,Kern County,county,,iso1:us#iso2:us-ca#fips:06029,,900202,0.07,other,50.4,,0.98,0.1,,,0.88,3,1,3,4,1,,3,136932,1532,0.011188035,,,,1098,967,300,,147,129,76,,438,,436706,376981,2021/9/27,https://covidactnow.org/us/california-ca/county/kern_county,0.485,0.419,0,787180,3
6031,US,CA,Kings County,county,,iso1:us#iso2:us-ca#fips:06031,,152940,0.073,other,55.8,,0.9,0.14,,,0.97,3,1,3,4,0,,3,30419,293,0.009632138,,,,168,163,91,,24,23,16,,47,,62559,52787,2021/9/27,https://covidactnow.org/us/california-ca/county/kings_county,0.409,0.345,0,110832,3
6033,US,CA,Lake County,county,,iso1:us#iso2:us-ca#fips:06033,,64386,0.104,other,27.7,,0.76,0.3,,,0.84,3,2,3,4,0,,2,6135,92,0.014995925,,,,52,33,10,,8,6,3,,0,,34700,30374,2021/9/27,https://covidactnow.org/us/california-ca/county/lake_county,0.539,0.472,0,62932,3
6035,US,CA,Lassen County,county,,iso1:us#iso2:us-ca#fips:06035,,30573,,other,81.8,,0.93,0.26,,,,5,4,5,4,1,,4,7089,36,0.00507829,,,,27,12,7,,,,0,,0,,7869,6940,2021/9/27,https://covidactnow.org/us/california-ca/county/lassen_county,0.257,0.227,0,13745,3
6037,US,CA,Los Angeles County,county,,iso1:us#iso2:us-ca#fips:06037,,10039107,0.019,other,14.3,,0.91,0.1,,,0.75,2,0,2,4,1,,1,1454881,26013,0.017879813,,,,17436,13556,1008,,2037,1525,304,,1179,,6824021,6097181,2021/9/27,https://covidactnow.org/us/california-ca/county/los_angeles_county,0.68,0.607,14,12608118,3
6039,US,CA,Madera County,county,,iso1:us#iso2:us-ca#fips:06039,,157327,0.086,other,33.6,,0.85,0.17,,,0.8,3,1,3,4,0,,1,22042,263,0.011931767,,,,80,67,18,,10,8,3,,0,,77603,68167,2021/9/27,https://covidactnow.org/us/california-ca/county/madera_county,0.493,0.433,0,141613,3
